time,conversion,size_x,size_y,n_seeds,run_id,rng_seed
17.62180775054535,92.40929102778199,85,85,147,size_85x85_run_004_seed_123,123
17.621870643516882,92.4095791111617,85,85,147,size_85x85_run_004_seed_123,123
17.621962365147642,92.40986717267552,85,85,147,size_85x85_run_004_seed_123,123
17.622007016396466,92.4101552123259,85,85,147,size_85x85_run_004_seed_123,123
17.62209438602906,92.41044323011536,85,85,147,size_85x85_run_004_seed_123,123
17.622256812512127,92.41073122604637,85,85,147,size_85x85_run_004_seed_123,123
17.62234945825874,92.41101920012143,85,85,147,size_85x85_run_004_seed_123,123
17.62236661560788,92.41130715234301,85,85,147,size_85x85_run_004_seed_123,123
17.622383783100016,92.41159508271362,85,85,147,size_85x85_run_004_seed_123,123
17.62239030501896,92.41188299123573,85,85,147,size_85x85_run_004_seed_123,123
17.62274578705749,92.41217087791182,85,85,147,size_85x85_run_004_seed_123,123
17.62298570682508,92.41245874274442,85,85,147,size_85x85_run_004_seed_123,123
17.623444078877206,92.41274658573596,85,85,147,size_85x85_run_004_seed_123,123
17.623447835644072,92.41303440688895,85,85,147,size_85x85_run_004_seed_123,123
17.623540202647828,92.4133222062059,85,85,147,size_85x85_run_004_seed_123,123
17.62354985347658,92.41360998368926,85,85,147,size_85x85_run_004_seed_123,123
17.623594389279138,92.41389773934152,85,85,147,size_85x85_run_004_seed_123,123
17.62394755797084,92.41418547316518,85,85,147,size_85x85_run_004_seed_123,123
17.623961318432897,92.4144731851627,85,85,147,size_85x85_run_004_seed_123,123
17.624236543230953,92.4147608753366,85,85,147,size_85x85_run_004_seed_123,123
17.624246995298986,92.41504854368931,85,85,147,size_85x85_run_004_seed_123,123
17.62433937454184,92.41533619022337,85,85,147,size_85x85_run_004_seed_123,123
17.62436580650128,92.41562381494121,85,85,147,size_85x85_run_004_seed_123,123
17.624430604346067,92.41591141784536,85,85,147,size_85x85_run_004_seed_123,123
17.624603037208008,92.41619899893827,85,85,147,size_85x85_run_004_seed_123,123
17.624952362736977,92.41648655822242,85,85,147,size_85x85_run_004_seed_123,123
17.625417744387626,92.41677409570032,85,85,147,size_85x85_run_004_seed_123,123
17.625547237957377,92.41706161137441,85,85,147,size_85x85_run_004_seed_123,123
17.625547456930164,92.4173491052472,85,85,147,size_85x85_run_004_seed_123,123
17.62564447135839,92.41763657732115,85,85,147,size_85x85_run_004_seed_123,123
17.625664163588787,92.41792402759876,85,85,147,size_85x85_run_004_seed_123,123
17.625708987097887,92.41821145608249,85,85,147,size_85x85_run_004_seed_123,123
17.625965935040885,92.41849886277484,85,85,147,size_85x85_run_004_seed_123,123
17.626057856244515,92.41878624767826,85,85,147,size_85x85_run_004_seed_123,123
17.626702242315243,92.41907361079524,85,85,147,size_85x85_run_004_seed_123,123
17.626905983102542,92.41936095212826,85,85,147,size_85x85_run_004_seed_123,123
17.626907390631285,92.4196482716798,85,85,147,size_85x85_run_004_seed_123,123
17.62737538440619,92.41993556945233,85,85,147,size_85x85_run_004_seed_123,123
17.62738749388063,92.42022284544834,85,85,147,size_85x85_run_004_seed_123,123
17.62743990078597,92.4205100996703,85,85,147,size_85x85_run_004_seed_123,123
17.62744734000635,92.42079733212066,85,85,147,size_85x85_run_004_seed_123,123
17.627526911306642,92.42108454280192,85,85,147,size_85x85_run_004_seed_123,123
17.62764553059272,92.42137173171656,85,85,147,size_85x85_run_004_seed_123,123
17.627674103096737,92.42165889886704,85,85,147,size_85x85_run_004_seed_123,123
17.627724058083572,92.42194604425583,85,85,147,size_85x85_run_004_seed_123,123
17.627769004989773,92.42223316788542,85,85,147,size_85x85_run_004_seed_123,123
17.628138900834003,92.42252026975828,85,85,147,size_85x85_run_004_seed_123,123
17.628187339821146,92.42280734987686,85,85,147,size_85x85_run_004_seed_123,123
17.62829822959771,92.42309440824368,85,85,147,size_85x85_run_004_seed_123,123
17.628372822404565,92.42338144486116,85,85,147,size_85x85_run_004_seed_123,123
17.62837675673437,92.4236684597318,85,85,147,size_85x85_run_004_seed_123,123
17.62858146664237,92.42395545285807,85,85,147,size_85x85_run_004_seed_123,123
17.62867713986072,92.42395545285807,85,85,147,size_85x85_run_004_seed_123,123
17.62884544161175,92.42424242424242,85,85,147,size_85x85_run_004_seed_123,123
17.629031124471446,92.42452937388735,85,85,147,size_85x85_run_004_seed_123,123
17.629147521056016,92.42481630179532,85,85,147,size_85x85_run_004_seed_123,123
17.6292246925499,92.42510320796879,85,85,147,size_85x85_run_004_seed_123,123
17.629399719008102,92.42539009241024,85,85,147,size_85x85_run_004_seed_123,123
17.629805345577182,92.42567695512214,85,85,147,size_85x85_run_004_seed_123,123
17.6300344727556,92.42596379610694,85,85,147,size_85x85_run_004_seed_123,123
17.630055700172576,92.42625061536714,85,85,147,size_85x85_run_004_seed_123,123
17.630077662204062,92.42653741290519,85,85,147,size_85x85_run_004_seed_123,123
17.630225406915784,92.42682418872354,85,85,147,size_85x85_run_004_seed_123,123
17.63060080346868,92.42711094282468,85,85,147,size_85x85_run_004_seed_123,123
17.630612446157954,92.42739767521108,85,85,147,size_85x85_run_004_seed_123,123
