run_id,sigma,time,conversion
size_80x80_sigma_0.3_seed_123,0.3,2.2576705649266526,68.9296256019885
size_80x80_sigma_0.3_seed_123,0.3,2.2576803840039306,68.93445169307239
size_80x80_sigma_0.3_seed_123,0.3,2.2578824742935892,68.93927628513744
size_80x80_sigma_0.3_seed_123,0.3,2.258011730474731,68.93927628513744
size_80x80_sigma_0.3_seed_123,0.3,2.2580625482803183,68.94409937888199
size_80x80_sigma_0.3_seed_123,0.3,2.2580851601691103,68.94892097500389
size_80x80_sigma_0.3_seed_123,0.3,2.2581172714398168,68.95374107420056
size_80x80_sigma_0.3_seed_123,0.3,2.2581325246364212,68.95855967716902
size_80x80_sigma_0.3_seed_123,0.3,2.2581484438829,68.96337678460583
size_80x80_sigma_0.3_seed_123,0.3,2.25839414695521,68.96819239720713
size_80x80_sigma_0.3_seed_123,0.3,2.2584180710509925,68.97300651566863
size_80x80_sigma_0.3_seed_123,0.3,2.2584249834764614,68.9778191406856
size_80x80_sigma_0.3_seed_123,0.3,2.258620442612366,68.98263027295285
size_80x80_sigma_0.3_seed_123,0.3,2.2587488316653457,68.98263027295285
size_80x80_sigma_0.3_seed_123,0.3,2.2588869307309682,68.98263027295285
size_80x80_sigma_0.3_seed_123,0.3,2.259252843498555,68.98743991316482
size_80x80_sigma_0.3_seed_123,0.3,2.2592866174863024,68.9922480620155
size_80x80_sigma_0.3_seed_123,0.3,2.2593834965324375,68.99705472019842
size_80x80_sigma_0.3_seed_123,0.3,2.2594261546695558,69.00185988840668
size_80x80_sigma_0.3_seed_123,0.3,2.2594819566188553,69.00666356733302
size_80x80_sigma_0.3_seed_123,0.3,2.259638013694496,69.01146575766967
size_80x80_sigma_0.3_seed_123,0.3,2.259679384715092,69.01626646010844
size_80x80_sigma_0.3_seed_123,0.3,2.259738975175845,69.02106567534076
size_80x80_sigma_0.3_seed_123,0.3,2.2597413807459255,69.02106567534076
size_80x80_sigma_0.3_seed_123,0.3,2.259760746972326,69.0258634040576
size_80x80_sigma_0.3_seed_123,0.3,2.259804201885898,69.03065964694952
size_80x80_sigma_0.3_seed_123,0.3,2.2599639420913054,69.03065964694952
size_80x80_sigma_0.3_seed_123,0.3,2.2601001784240955,69.03065964694952
size_80x80_sigma_0.3_seed_123,0.3,2.2601816680860463,69.03545440470661
size_80x80_sigma_0.3_seed_123,0.3,2.2602538091720863,69.04024767801857
size_80x80_sigma_0.3_seed_123,0.3,2.2605074634078615,69.04024767801857
size_80x80_sigma_0.3_seed_123,0.3,2.2605480976152674,69.04503946757468
size_80x80_sigma_0.3_seed_123,0.3,2.260587953587756,69.04503946757468
